county,date,status,number
Baker,2018-12-15,APPROVED,17
Baker,2018-12-16,APPROVED,8
Baker,2018-12-17,APPROVED,11
Baker,2018-12-18,APPROVED,10
Baker,2018-12-19,APPROVED,7
Baker,2018-12-19,CANCELED,1
Baker,2018-12-20,APPROVED,12
Baker,2018-12-20,CANCELED,1
Baker,2018-12-21,APPROVED,15
Baker,2018-12-22,APPROVED,20
Baker,2018-12-22,DENIED,1
Baker,2018-12-23,APPROVED,11
Baker,2018-12-23,CANCELED,2
Baker,2018-12-24,APPROVED,16
Baker,2018-12-26,APPROVED,8
Baker,2018-12-27,APPROVED,5
Baker,2018-12-28,APPROVED,5
Baker,2018-12-29,APPROVED,3
Baker,2018-12-30,APPROVED,2
Baker,2018-12-31,APPROVED,5
Baker,2019-01-02,APPROVED,6
Baker,2019-01-03,APPROVED,11
Baker,2019-01-04,APPROVED,9
Baker,2019-01-05,APPROVED,10
Baker,2019-01-06,APPROVED,5
Baker,2019-01-07,APPROVED,4
Baker,2019-01-08,APPROVED,7
Baker,2019-01-09,APPROVED,5
Baker,2019-01-10,APPROVED,3
Baker,2019-01-11,APPROVED,9
Baker,2019-01-12,APPROVED,13
Baker,2019-01-12,CANCELED,1
Baker,2019-01-13,APPROVED,6
Baker,2019-01-14,APPROVED,5
Baker,2019-01-15,APPROVED,8
Baker,2019-01-16,APPROVED,3
Baker,2019-01-17,APPROVED,3
Baker,2019-01-18,APPROVED,3
Baker,2019-01-19,APPROVED,6
Baker,2019-01-20,APPROVED,1
Baker,2019-01-21,APPROVED,2
Baker,2019-01-22,APPROVED,4
Baker,2019-01-23,APPROVED,7
Baker,2019-01-24,APPROVED,6
Baker,2019-01-24,CANCELED,1
Baker,2019-01-25,APPROVED,4
Baker,2019-01-26,APPROVED,11
Baker,2019-01-27,APPROVED,3
Baker,2019-01-28,APPROVED,2
Baker,2019-01-29,APPROVED,4
Baker,2019-01-30,APPROVED,4
Baker,2019-01-31,APPROVED,4
Baker,2019-02-01,APPROVED,5
Baker,2019-02-02,APPROVED,11
Baker,2019-02-03,APPROVED,6
Baker,2019-02-04,APPROVED,11
Baker,2019-02-05,APPROVED,10
Baker,2019-02-06,APPROVED,7
Baker,2019-02-07,APPROVED,7
Baker,2019-02-08,APPROVED,8
Baker,2019-02-09,APPROVED,10
Baker,2019-02-10,APPROVED,3
Baker,2019-02-11,APPROVED,2
Baker,2019-02-12,APPROVED,2
Baker,2019-02-13,APPROVED,5
Baker,2019-02-14,APPROVED,8
Baker,2019-02-15,APPROVED,13
Baker,2019-02-15,CANCELED,1
Baker,2019-02-16,APPROVED,12
Baker,2019-02-16,CANCELED,2
Baker,2019-02-17,APPROVED,6
Baker,2019-02-18,APPROVED,2
Baker,2019-02-19,APPROVED,9
Baker,2019-02-20,APPROVED,6
Baker,2019-02-21,APPROVED,3
Baker,2019-02-22,APPROVED,6
Baker,2019-02-23,APPROVED,48
Baker,2019-02-23,DENIED,1
Baker,2019-02-24,APPROVED,16
Baker,2019-02-25,APPROVED,3
Baker,2019-02-26,APPROVED,4
Baker,2019-02-27,APPROVED,10
Baker,2019-02-27,CANCELED,1
Baker,2019-02-28,APPROVED,6
Baker,2019-03-01,APPROVED,14
Baker,2019-03-02,APPROVED,24
Baker,2019-03-03,APPROVED,6
Baker,2019-03-03,DENIED,1
Baker,2019-03-04,APPROVED,5
Baker,2019-03-05,APPROVED,14
Baker,2019-03-06,APPROVED,15
Baker,2019-03-07,APPROVED,5
Baker,2019-03-08,APPROVED,12
Baker,2019-03-09,APPROVED,15
Baker,2019-03-10,APPROVED,11
Baker,2019-03-11,APPROVED,9
Baker,2019-03-12,APPROVED,8
Baker,2019-03-13,APPROVED,13
Baker,2019-03-13,CANCELED,1
Baker,2019-03-14,APPROVED,2
Baker,2019-03-15,APPROVED,6
Baker,2019-03-16,APPROVED,12
Baker,2019-03-17,APPROVED,3
Baker,2019-03-18,APPROVED,4
Baker,2019-03-19,APPROVED,10
Baker,2019-03-20,APPROVED,14
Baker,2019-03-21,APPROVED,4
Baker,2019-03-22,APPROVED,8
Baker,2019-03-22,DENIED,1
Baker,2019-03-23,APPROVED,12
Baker,2019-03-23,CANCELED,1
Baker,2019-03-24,APPROVED,5
Baker,2019-03-25,APPROVED,7
Baker,2019-03-26,APPROVED,3
Baker,2019-03-27,APPROVED,5
Baker,2019-03-28,APPROVED,4
Baker,2019-03-29,APPROVED,8
Baker,2019-03-30,APPROVED,7
Baker,2019-04-01,APPROVED,7
Baker,2019-04-02,APPROVED,6
Baker,2019-04-03,APPROVED,8
Baker,2019-04-04,APPROVED,5
Baker,2019-04-05,APPROVED,9
Baker,2019-04-06,APPROVED,15
Baker,2019-04-07,APPROVED,25
Baker,2019-04-07,CANCELED,1
Baker,2019-04-08,APPROVED,4
Baker,2019-04-09,APPROVED,11
Baker,2019-04-10,APPROVED,4
Baker,2019-04-11,APPROVED,5
Baker,2019-04-12,APPROVED,9
Baker,2019-04-13,APPROVED,6
Baker,2019-04-14,APPROVED,3
Baker,2019-04-15,APPROVED,7
Baker,2019-04-16,APPROVED,9
Baker,2019-04-17,APPROVED,7
Baker,2019-04-18,APPROVED,10
Baker,2019-04-19,APPROVED,11
Baker,2019-04-20,APPROVED,8
Baker,2019-04-22,APPROVED,7
Baker,2019-04-23,APPROVED,9
Baker,2019-04-24,APPROVED,7
Baker,2019-04-25,APPROVED,2
Baker,2019-04-26,APPROVED,10
Baker,2019-04-27,APPROVED,9
Baker,2019-04-28,APPROVED,8
Baker,2019-04-29,APPROVED,11
Baker,2019-04-30,APPROVED,12
Baker,2019-04-30,CANCELED,1
Baker,2019-05-01,APPROVED,12
Baker,2019-05-01,DENIED,1
Baker,2019-05-02,APPROVED,11
Baker,2019-05-03,APPROVED,9
Baker,2019-05-04,APPROVED,12
Baker,2019-05-05,APPROVED,5
Baker,2019-05-06,APPROVED,6
Baker,2019-05-07,APPROVED,2
Baker,2019-05-08,APPROVED,2
Baker,2019-05-09,APPROVED,5
Baker,2019-05-10,APPROVED,8
Baker,2019-05-11,APPROVED,4
